"ID"	"GB_ACC"	"Gene.Title"	"Gene.Symbol"
"207911_PM_s_at"	"207911_PM_s_at"	"NM_004245"	"transglutaminase 5"	"TGM5"
"233983_PM_at"	"233983_PM_at"	"AL049650"	"transglutaminase 6"	"TGM6"
"237288_PM_at"	"237288_PM_at"	"AI018564"	"transglutaminase 7"	"TGM7"
"1554608_PM_at"	"1554608_PM_at"	"BC028219"	"trans-golgi network protein 2"	"TGOLN2"
"219231_PM_at"	"219231_PM_at"	"NM_024831"	"trimethylguanosine synthase homolog (S. cerevisiae)"	"TGS1"
"208291_PM_s_at"	"208291_PM_s_at"	"NM_000360"	"tyrosine hydroxylase"	"TH"
"220607_PM_x_at"	"220607_PM_x_at"	"NM_016397"	"TH1-like (Drosophila)"	"TH1L"
"1554492_PM_at"	"1554492_PM_at"	"BC037990"	"thyroid adenoma associated"	"THADA"
"219292_PM_at"	"219292_PM_at"	"NM_018105"	"THAP domain containing, apoptosis associated protein 1"	"THAP1"
"219596_PM_at"	"219596_PM_at"	"NM_020147"	"THAP domain containing 10"	"THAP10"
"212910_PM_at"	"212910_PM_at"	"W19873"	"THAP domain containing 11"	"THAP11"
"223588_PM_at"	"223588_PM_at"	"AL136607"	"THAP domain containing, apoptosis associated protein 2"	"THAP2"
"213192_PM_at"	"213192_PM_at"	"AL031447"	"THAP domain containing, apoptosis associated protein 3"	"THAP3"
"220417_PM_s_at"	"220417_PM_s_at"	"NM_015963"	"THAP domain containing 4"	"THAP4"
"227636_PM_at"	"227636_PM_at"	"BG500677"	"THAP domain containing 5"	"THAP5"
"227813_PM_at"	"227813_PM_at"	"AW058657"	"THAP domain containing 6"	"THAP6"
"218492_PM_s_at"	"218492_PM_s_at"	"NM_030573"	"THAP domain containing 7"	"THAP7"
"228500_PM_at"	"228500_PM_at"	"AW411259"	"THAP domain containing 8"	"THAP8"
"220360_PM_at"	"220360_PM_at"	"NM_024672"	"THAP domain containing 9"	"THAP9"
"203887_PM_s_at"	"203887_PM_s_at"	"NM_000361"	"thrombomodulin"	"THBD"
"201107_PM_s_at"	"201107_PM_s_at"	"AI812030"	"thrombospondin 1"	"THBS1"
"203083_PM_at"	"203083_PM_at"	"NM_003247"	"thrombospondin 2"	"THBS2"
"209561_PM_at"	"209561_PM_at"	"L38969"	"thrombospondin 3"	"THBS3"
"204776_PM_at"	"204776_PM_at"	"NM_003248"	"thrombospondin 4"	"THBS4"
"220808_PM_at"	"220808_PM_at"	"NM_016585"	"Theg homolog (mouse)"	"THEG"
"1553118_PM_at"	"1553118_PM_at"	"NM_053055"	"thioesterase superfamily member 4"	"THEM4"
"1562490_PM_at"	"1562490_PM_at"	"AK095283"	"thioesterase superfamily member 5"	"THEM5"
"1558971_PM_at"	"1558971_PM_at"	"BC043608"	"thymocyte selection associated"	"THEMIS"
"219122_PM_s_at"	"219122_PM_s_at"	"NM_017872"	"tRNA-histidine guanylyltransferase 1-like (S. cerevisiae)"	"THG1L"
"219800_PM_s_at"	"219800_PM_s_at"	"NM_024838"	"threonine synthase-like 1 (S. cerevisiae)"	"THNSL1"
"219044_PM_at"	"219044_PM_at"	"NM_018271"	"threonine synthase-like 2 (S. cerevisiae)"	"THNSL2"
"204064_PM_at"	"204064_PM_at"	"NM_005131"	"THO complex 1"	"THOC1"
"212994_PM_at"	"212994_PM_at"	"BE543527"	"THO complex 2"	"THOC2"
"226319_PM_s_at"	"226319_PM_s_at"	"AF047002"	"THO complex 4"	"THOC4"
"209418_PM_s_at"	"209418_PM_s_at"	"BC003615"	"THO complex 5"	"THOC5"
"218848_PM_at"	"218848_PM_at"	"NM_024339"	"THO complex 6 homolog (Drosophila)"	"THOC6"
"218334_PM_at"	"218334_PM_at"	"NM_025075"	"THO complex 7 homolog (Drosophila)"	"THOC7"
"203235_PM_at"	"203235_PM_at"	"NM_003249"	"thimet oligopeptidase 1"	"THOP1"
"211154_PM_at"	"211154_PM_at"	"D32047"	"thrombopoietin"	"THPO"
"1316_PM_at"	"1316_PM_at"	"X55005"	"thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian)"	"THRA"
"217847_PM_s_at"	"217847_PM_s_at"	"NM_005119"	"thyroid hormone receptor associated protein 3"	"THRAP3"
"207044_PM_at"	"207044_PM_at"	"NM_000461"	"thyroid hormone receptor, beta (erythroblastic leukemia viral (v-erb-a) oncogene homolog 2, avian)"	"THRB"
"1553583_PM_a_at"	"1553583_PM_a_at"	"NM_003251"	"thyroid hormone responsive (SPOT14 homolog, rat)"	"THRSP"
"219477_PM_s_at"	"219477_PM_s_at"	"NM_018676"	"thrombospondin, type I, domain containing 1 /// thrombospondin, type I, domain containing 1 pseudogene 1"	"THSD1 /// THSD1P1"
"219153_PM_s_at"	"219153_PM_s_at"	"NM_024817"	"thrombospondin, type I, domain containing 4"	"THSD4"
"213894_PM_at"	"213894_PM_at"	"BF447246"	"thrombospondin, type I, domain containing 7A"	"THSD7A"
"232327_PM_at"	"232327_PM_at"	"AB051466"	"thrombospondin, type I, domain containing 7B"	"THSD7B"
"214341_PM_at"	"214341_PM_at"	"AI741833"	"Thiamine triphosphatase"	"THTPA"
"206555_PM_s_at"	"206555_PM_s_at"	"NM_017736"	"THUMP domain containing 1"	"THUMPD1"
"219248_PM_at"	"219248_PM_at"	"NM_025264"	"THUMP domain containing 2"	"THUMPD2"
"223804_PM_s_at"	"223804_PM_s_at"	"BC001622"	"THUMP domain containing 3"	"THUMPD3"
"208850_PM_s_at"	"208850_PM_s_at"	"AL558479"	"Thy-1 cell surface antigen"	"THY1"
"218491_PM_s_at"	"218491_PM_s_at"	"NM_014174"	"thymocyte nuclear protein 1"	"THYN1"
"1554889_PM_at"	"1554889_PM_at"	"BC015944"	"TIA1 cytotoxic granule-associated RNA binding protein"	"TIA1"
"1560553_PM_at"	"1560553_PM_at"	"BC011938"	"TGFB1-induced anti-apoptotic factor 1"	"TIAF1"
"202405_PM_at"	"202405_PM_at"	"BF432532"	"TIA1 cytotoxic granule-associated RNA binding protein-like 1"	"TIAL1"
"206409_PM_at"	"206409_PM_at"	"NM_003253"	"T-cell lymphoma invasion and metastasis 1"	"TIAM1"
"219950_PM_s_at"	"219950_PM_s_at"	"NM_012454"	"T-cell lymphoma invasion and metastasis 2"	"TIAM2"
"213191_PM_at"	"213191_PM_at"	"AF070530"	"toll-like receptor adaptor molecule 1"	"TICAM1"
"228234_PM_at"	"228234_PM_at"	"AI423165"	"toll-like receptor adaptor molecule 2 /// TMED7-TICAM2 readthrough"	"TICAM2 /// TMED7-TICAM2"
"1560657_PM_at"	"1560657_PM_at"	"AL833389"	"tyrosine kinase with immunoglobulin-like and EGF-like domains 1"	"TIE1"
"226117_PM_at"	"226117_PM_at"	"AA195074"	"TRAF-interacting protein with forkhead-associated domain"	"TIFA"
"236673_PM_at"	"236673_PM_at"	"AI554057"	"TRAF-interacting protein with forkhead-associated domain, family member B"	"TIFAB"
"1553099_PM_at"	"1553099_PM_at"	"NM_145702"	"tigger transposable element derived 1"	"TIGD1"
"216459_PM_x_at"	"216459_PM_x_at"	"AL137624"	"tigger transposable element derived 1-like"	"TIGD1L"
"229983_PM_at"	"229983_PM_at"	"AI610112"	"tigger transposable element derived 2"	"TIGD2"
"229789_PM_at"	"229789_PM_at"	"N64757"	"tigger transposable element derived 3"	"TIGD3"
"1552522_PM_at"	"1552522_PM_at"	"NM_145720"	"tigger transposable element derived 4"	"TIGD4"
"229758_PM_at"	"229758_PM_at"	"AW168771"	"tigger transposable element derived 5"	"TIGD5"
"220986_PM_s_at"	"220986_PM_s_at"	"NM_030953"	"tigger transposable element derived 6"	"TIGD6"
"224365_PM_s_at"	"224365_PM_s_at"	"AF251050"	"tigger transposable element derived 7"	"TIGD7"
"240070_PM_at"	"240070_PM_at"	"AW512550"	"T cell immunoreceptor with Ig and ITIM domains"	"TIGIT"
"1552280_PM_at"	"1552280_PM_at"	"NM_138379"	"T-cell immunoglobulin and mucin domain containing 4"	"TIMD4"
"203046_PM_s_at"	"203046_PM_s_at"	"NM_003920"	"timeless homolog (Drosophila)"	"TIMELESS"
"1555764_PM_s_at"	"1555764_PM_s_at"	"AF152354"	"translocase of inner mitochondrial membrane 10 homolog (yeast)"	"TIMM10"
"218188_PM_s_at"	"218188_PM_s_at"	"NM_012458"	"translocase of inner mitochondrial membrane 13 homolog (yeast)"	"TIMM13"
"218969_PM_at"	"218969_PM_at"	"NM_016069"	"mitochondria-associated protein involved in granulocyte-macrophage colony-stimulating factor signal transduction"	"TIMM16"
"201821_PM_s_at"	"201821_PM_s_at"	"BC004439"	"translocase of inner mitochondrial membrane 17 homolog A (yeast)"	"TIMM17A"
"1559909_PM_a_at"	"1559909_PM_a_at"	"BC029446"	"translocase of inner mitochondrial membrane 17 homolog B (yeast)"	"TIMM17B"
"219184_PM_x_at"	"219184_PM_x_at"	"NM_013337"	"translocase of inner mitochondrial membrane 22 homolog (yeast)"	"TIMM22"
"229428_PM_at"	"229428_PM_at"	"AI400463"	"translocase of inner mitochondrial membrane 23 homolog (yeast)"	"TIMM23"
"203092_PM_at"	"203092_PM_at"	"AF026030"	"translocase of inner mitochondrial membrane 44 homolog (yeast)"	"TIMM44"
"217612_PM_at"	"217612_PM_at"	"BE378994"	"translocase of inner mitochondrial membrane 50 homolog (S. cerevisiae)"	"TIMM50"
"205217_PM_at"	"205217_PM_at"	"NM_004085"	"translocase of inner mitochondrial membrane 8 homolog A (yeast)"	"TIMM8A"
"218357_PM_s_at"	"218357_PM_s_at"	"NM_012459"	"translocase of inner mitochondrial membrane 8 homolog B (yeast)"	"TIMM8B"
"218316_PM_at"	"218316_PM_at"	"NM_012460"	"translocase of inner mitochondrial membrane 9 homolog (yeast)"	"TIMM9"
"201666_PM_at"	"201666_PM_at"	"NM_003254"	"TIMP metallopeptidase inhibitor 1"	"TIMP1"
"203167_PM_at"	"203167_PM_at"	"NM_003255"	"TIMP metallopeptidase inhibitor 2"	"TIMP2"
"201147_PM_s_at"	"201147_PM_s_at"	"BF347089"	"TIMP metallopeptidase inhibitor 3"	"TIMP3"
"206243_PM_at"	"206243_PM_at"	"NM_003256"	"TIMP metallopeptidase inhibitor 4"	"TIMP4"
"223782_PM_s_at"	"223782_PM_s_at"	"AF195116"	"tubulointerstitial nephritis antigen"	"TINAG"
"219058_PM_x_at"	"219058_PM_x_at"	"NM_022164"	"tubulointerstitial nephritis antigen-like 1"	"TINAGL1"
"220052_PM_s_at"	"220052_PM_s_at"	"NM_012461"	"TERF1 (TRF1)-interacting nuclear factor 2"	"TINF2"
"212665_PM_at"	"212665_PM_at"	"AL556438"	"TCDD-inducible poly(ADP-ribose) polymerase"	"TIPARP"
"219258_PM_at"	"219258_PM_at"	"NM_017858"	"TIMELESS interacting protein"	"TIPIN"
"1553677_PM_a_at"	"1553677_PM_a_at"	"NM_152902"	"TIP41, TOR signaling pathway regulator-like (S. cerevisiae)"	"TIPRL"
"1552360_PM_a_at"	"1552360_PM_a_at"	"NM_052887"	"toll-interleukin 1 receptor (TIR) domain containing adaptor protein"	"TIRAP"
"221857_PM_s_at"	"221857_PM_s_at"	"AK024269"	"tight junction associated protein 1 (peripheral)"	"TJAP1"
"202011_PM_at"	"202011_PM_at"	"NM_003257"	"tight junction protein 1 (zona occludens 1)"	"TJP1"
"202085_PM_at"	"202085_PM_at"	"NM_004817"	"tight junction protein 2 (zona occludens 2)"	"TJP2"
"213412_PM_at"	"213412_PM_at"	"NM_014428"	"tight junction protein 3 (zona occludens 3)"	"TJP3"
"1554408_PM_a_at"	"1554408_PM_a_at"	"BC007986"	"thymidine kinase 1, soluble"	"TK1"
"204227_PM_s_at"	"204227_PM_s_at"	"NM_004614"	"thymidine kinase 2, mitochondrial"	"TK2"
"208699_PM_x_at"	"208699_PM_x_at"	"BF696840"	"transketolase"	"TKT"
"214183_PM_s_at"	"214183_PM_s_at"	"X91817"	"transketolase-like 1"	"TKTL1"
"223829_PM_at"	"223829_PM_at"	"AL136779"	"transketolase-like 2"	"TKTL2"
"227804_PM_at"	"227804_PM_at"	"BE328850"	"TLC domain containing 1"	"TLCD1"
"1557275_PM_a_at"	"1557275_PM_a_at"	"BF726849"	"TLC domain containing 2"	"TLCD2"
"203220_PM_s_at"	"203220_PM_s_at"	"AI951720"	"transducin-like enhancer of split 1 (E(sp1) homolog, Drosophila)"	"TLE1"
"204431_PM_at"	"204431_PM_at"	"NM_003260"	"transducin-like enhancer of split 2 (E(sp1) homolog, Drosophila)"	"TLE2"
"206472_PM_s_at"	"206472_PM_s_at"	"NM_005078"	"transducin-like enhancer of split 3 (E(sp1) homolog, Drosophila)"	"TLE3"
"204872_PM_at"	"204872_PM_at"	"NM_007005"	"transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila)"	"TLE4"
"1553812_PM_at"	"1553812_PM_at"	"NM_032760"	"transducin-like enhancer of split 6 (E(sp1) homolog, Drosophila)"	"TLE6"
"202606_PM_s_at"	"202606_PM_s_at"	"NM_012290"	"tousled-like kinase 1"	"TLK1"
"212986_PM_s_at"	"212986_PM_s_at"	"BF112255"	"tousled-like kinase 2"	"TLK2"
"1555071_PM_at"	"1555071_PM_at"	"BC016922"	"tolloid-like 1"	"TLL1"
"208027_PM_s_at"	"208027_PM_s_at"	"NM_012465"	"tolloid-like 2"	"TLL2"
"203254_PM_s_at"	"203254_PM_s_at"	"NM_006289"	"talin 1"	"TLN1"
"212701_PM_at"	"212701_PM_at"	"AB002318"	"talin 2"	"TLN2"
"210176_PM_at"	"210176_PM_at"	"AL050262"	"toll-like receptor 1"	"TLR1"
"223750_PM_s_at"	"223750_PM_s_at"	"AW665250"	"toll-like receptor 10"	"TLR10"
"204924_PM_at"	"204924_PM_at"	"NM_003264"	"toll-like receptor 2"	"TLR2"
"206271_PM_at"	"206271_PM_at"	"NM_003265"	"toll-like receptor 3"	"TLR3"
"1552798_PM_a_at"	"1552798_PM_a_at"	"NM_138557"	"toll-like receptor 4"	"TLR4"
"210166_PM_at"	"210166_PM_at"	"AF051151"	"toll-like receptor 5"	"TLR5"
"207446_PM_at"	"207446_PM_at"	"NM_006068"	"toll-like receptor 6"	"TLR6"
"220146_PM_at"	"220146_PM_at"	"NM_016562"	"toll-like receptor 7"	"TLR7"
"220832_PM_at"	"220832_PM_at"	"NM_016610"	"toll-like receptor 8"	"TLR8"
"223903_PM_at"	"223903_PM_at"	"AB045180"	"toll-like receptor 9"	"TLR9"
"207179_PM_at"	"207179_PM_at"	"NM_005521"	"T-cell leukemia homeobox 1"	"TLX1"
"207410_PM_s_at"	"207410_PM_s_at"	"NM_016170"	"T-cell leukemia homeobox 2"	"TLX2"
"208495_PM_at"	"208495_PM_at"	"NM_021025"	"T-cell leukemia homeobox 3"	"TLX3"
"211703_PM_s_at"	"211703_PM_s_at"	"AF353990"	"TM2 domain containing 1"	"TM2D1"
"224413_PM_s_at"	"224413_PM_s_at"	"AF353991"	"TM2 domain containing 2"	"TM2D2"
"1552426_PM_a_at"	"1552426_PM_a_at"	"NM_078474"	"TM2 domain containing 3"	"TM2D3"
"209386_PM_at"	"209386_PM_at"	"AI346835"	"transmembrane 4 L six family member 1"	"TM4SF1"
"228489_PM_at"	"228489_PM_at"	"AI721164"	"transmembrane 4 L six family member 18"	"TM4SF18"
"220639_PM_at"	"220639_PM_at"	"NM_024795"	"transmembrane 4 L six family member 20"	"TM4SF20"
"209937_PM_at"	"209937_PM_at"	"BC001386"	"transmembrane 4 L six family member 4"	"TM4SF4"
"206242_PM_at"	"206242_PM_at"	"NM_003963"	"transmembrane 4 L six family member 5"	"TM4SF5"
"219892_PM_at"	"219892_PM_at"	"NM_023003"	"transmembrane 6 superfamily member 1"	"TM6SF1"
"216736_PM_at"	"216736_PM_at"	"AK024515"	"transmembrane 6 superfamily member 2"	"TM6SF2"
"210130_PM_s_at"	"210130_PM_s_at"	"AF096304"	"transmembrane 7 superfamily member 2"	"TM7SF2"
"217974_PM_at"	"217974_PM_at"	"NM_016551"	"transmembrane 7 superfamily member 3"	"TM7SF3"
"221266_PM_s_at"	"221266_PM_s_at"	"NM_030788"	"transmembrane 7 superfamily member 4"	"TM7SF4"
"209149_PM_s_at"	"209149_PM_s_at"	"BE899402"	"transmembrane 9 superfamily member 1"	"TM9SF1"
"201078_PM_at"	"201078_PM_at"	"NM_004800"	"transmembrane 9 superfamily member 2"	"TM9SF2"
"217758_PM_s_at"	"217758_PM_s_at"	"NM_020123"	"transmembrane 9 superfamily member 3"	"TM9SF3"
"212194_PM_s_at"	"212194_PM_s_at"	"AI418892"	"transmembrane 9 superfamily protein member 4"	"TM9SF4"
"217730_PM_at"	"217730_PM_at"	"NM_022152"	"transmembrane BAX inhibitor motif containing 1"	"TMBIM1"
"219206_PM_x_at"	"219206_PM_x_at"	"NM_016056"	"transmembrane BAX inhibitor motif containing 4"	"TMBIM4"
"200803_PM_s_at"	"200803_PM_s_at"	"AF033095"	"transmembrane BAX inhibitor motif containing 6"	"TMBIM6"
"1564591_PM_a_at"	"1564591_PM_a_at"	"AK098607"	"transmembrane channel-like 1"	"TMC1"
"1553019_PM_at"	"1553019_PM_at"	"NM_080751"	"transmembrane channel-like 2"	"TMC2"
"226403_PM_at"	"226403_PM_at"	"BE645551"	"transmembrane channel-like 4"	"TMC4"
"219580_PM_s_at"	"219580_PM_s_at"	"NM_024780"	"transmembrane channel-like 5"	"TMC5"
"204328_PM_at"	"204328_PM_at"	"NM_007267"	"transmembrane channel-like 6"	"TMC6"
"1561030_PM_at"	"1561030_PM_at"	"AF088010"	"transmembrane channel-like 7"	"TMC7"
"227353_PM_at"	"227353_PM_at"	"BE671663"	"transmembrane channel-like 8"	"TMC8"
"213349_PM_at"	"213349_PM_at"	"AI934469"	"transmembrane and coiled-coil domain family 1"	"TMCC1"
"1555503_PM_a_at"	"1555503_PM_a_at"	"AB001596"	"transmembrane and coiled-coil domain family 2"	"TMCC2"
"226489_PM_at"	"226489_PM_at"	"BG177562"	"transmembrane and coiled-coil domain family 3"	"TMCC3"
"208715_PM_at"	"208715_PM_at"	"BF002031"	"transmembrane and coiled-coil domains 1"	"TMCO1"
"231264_PM_at"	"231264_PM_at"	"AL050341"	"transmembrane and coiled-coil domains 2"	"TMCO2"
"220240_PM_s_at"	"220240_PM_s_at"	"NM_017905"	"transmembrane and coiled-coil domains 3"	"TMCO3"
"1560292_PM_a_at"	"1560292_PM_a_at"	"AL049847"	"transmembrane and coiled-coil domains 4"	"TMCO4"
"1553636_PM_at"	"1553636_PM_at"	"NM_152453"	"transmembrane and coiled-coil domains 5A"	"TMCO5A"
"243406_PM_at"	"243406_PM_at"	"BF510890"	"transmembrane and coiled-coil domains 5B"	"TMCO5B"
"213550_PM_s_at"	"213550_PM_s_at"	"AA993683"	"transmembrane and coiled-coil domains 6"	"TMCO6"
"226467_PM_at"	"226467_PM_at"	"AK022750"	"transmembrane and coiled-coil domains 7"	"TMCO7"
"203679_PM_at"	"203679_PM_at"	"NM_006858"	"transmembrane emp24 protein transport domain containing 1"	"TMED1"
"212352_PM_s_at"	"212352_PM_s_at"	"BE780075"	"transmembrane emp24-like trafficking protein 10 (yeast)"	"TMED10"
"200929_PM_at"	"200929_PM_at"	"NM_006827"	"transmembrane emp24-like trafficking protein 10 (yeast) /// transmembrane emp24-like trafficking protein 10 (yeast) pseudogene 1"	"TMED10 /// TMED10P1"
"200087_PM_s_at"	"200087_PM_s_at"	"AK024976"	"transmembrane emp24 domain trafficking protein 2"	"TMED2"
"208837_PM_at"	"208837_PM_at"	"BC000027"	"transmembrane emp24 protein transport domain containing 3"	"TMED3"
"1558052_PM_at"	"1558052_PM_at"	"BC001576"	"transmembrane emp24 protein transport domain containing 4"	"TMED4"
"1558813_PM_at"	"1558813_PM_at"	"BI561660"	"transmembrane emp24 protein transport domain containing 5"	"TMED5"
"236430_PM_at"	"236430_PM_at"	"AA708152"	"transmembrane emp24 protein transport domain containing 6"	"TMED6"
"209404_PM_s_at"	"209404_PM_s_at"	"AF151867"	"transmembrane emp24 protein transport domain containing 7"	"TMED7"
"225343_PM_at"	"225343_PM_at"	"AK025695"	"transmembrane emp24 protein transport domain containing 8"	"TMED8"
"205812_PM_s_at"	"205812_PM_s_at"	"NM_006588"	"transmembrane emp24 protein transport domain containing 9"	"TMED9"
"205122_PM_at"	"205122_PM_at"	"BF439316"	"transmembrane protein with EGF-like and two follistatin-like domains 1"	"TMEFF1"
"223557_PM_s_at"	"223557_PM_s_at"	"AB017269"	"transmembrane protein with EGF-like and two follistatin-like domains 2"	"TMEFF2"
"219230_PM_at"	"219230_PM_at"	"NM_018286"	"transmembrane protein 100"	"TMEM100"
"225004_PM_at"	"225004_PM_at"	"AL525613"	"transmembrane protein 101"	"TMEM101"
"230633_PM_at"	"230633_PM_at"	"AI285730"	"transmembrane protein 102"	"TMEM102"
"220097_PM_s_at"	"220097_PM_s_at"	"NM_017728"	"transmembrane protein 104"	"TMEM104"
"1561243_PM_at"	"1561243_PM_at"	"AK096111"	"transmembrane protein 105"	"TMEM105"
"1552302_PM_at"	"1552302_PM_at"	"NM_145041"	"transmembrane protein 106A"	"TMEM106A"
"218930_PM_s_at"	"218930_PM_s_at"	"NM_018374"	"transmembrane protein 106B"	"TMEM106B"
"201764_PM_at"	"201764_PM_at"	"NM_024056"	"transmembrane protein 106C"	"TMEM106C"
"224495_PM_at"	"224495_PM_at"	"BC006292"	"transmembrane protein 107"	"TMEM107"
"223523_PM_at"	"223523_PM_at"	"BC000568"	"transmembrane protein 108"	"TMEM108"
"201361_PM_at"	"201361_PM_at"	"NM_024092"	"transmembrane protein 109"	"TMEM109"
"203437_PM_at"	"203437_PM_at"	"NM_003876"	"transmembrane protein 11"	"TMEM11"
"213851_PM_at"	"213851_PM_at"	"BG031677"	"transmembrane protein 110"	"TMEM110"
"215250_PM_at"	"215250_PM_at"	"AU147317"	"Transmembrane protein 111"	"TMEM111"
"231462_PM_at"	"231462_PM_at"	"BE467208"	"Transmembrane protein 114"	"TMEM114"
"216267_PM_s_at"	"216267_PM_s_at"	"BF034906"	"transmembrane protein 115"	"TMEM115"
"227172_PM_at"	"227172_PM_at"	"BC000282"	"transmembrane protein 116"	"TMEM116"
"223594_PM_at"	"223594_PM_at"	"AL136855"	"transmembrane protein 117"	"TMEM117"
"227300_PM_at"	"227300_PM_at"	"AL521682"	"transmembrane protein 119"	"TMEM119"
"223482_PM_at"	"223482_PM_at"	"AF327923"	"transmembrane protein 120A"	"TMEM120A"
"219154_PM_at"	"219154_PM_at"	"NM_024714"	"transmembrane protein 120B"	"TMEM120B"
"219663_PM_s_at"	"219663_PM_s_at"	"NM_025268"	"transmembrane protein 121"	"TMEM121"
"211967_PM_at"	"211967_PM_at"	"BG538627"	"transmembrane protein 123"	"TMEM123"
"225822_PM_at"	"225822_PM_at"	"AV709406"	"transmembrane protein 125"	"TMEM125"
"223334_PM_at"	"223334_PM_at"	"AL136941"	"transmembrane protein 126A"	"TMEM126A"
"1554537_PM_at"	"1554537_PM_at"	"BC017574"	"transmembrane protein 126B"	"TMEM126B"
"219460_PM_s_at"	"219460_PM_s_at"	"NM_017849"	"transmembrane protein 127"	"TMEM127"
"225462_PM_at"	"225462_PM_at"	"AV705805"	"transmembrane protein 128"	"TMEM128"
"225587_PM_at"	"225587_PM_at"	"BE646231"	"transmembrane protein 129"	"TMEM129"
"238426_PM_at"	"238426_PM_at"	"AV707703"	"transmembrane protein 130"	"TMEM130"
"212507_PM_at"	"212507_PM_at"	"D87446"	"transmembrane protein 131"	"TMEM131"
"218834_PM_s_at"	"218834_PM_s_at"	"NM_017870"	"transmembrane protein 132A"	"TMEM132A"
"1563488_PM_at"	"1563488_PM_at"	"AB058689"	"transmembrane protein 132B"	"TMEM132B"
"232313_PM_at"	"232313_PM_at"	"AL122107"	"transmembrane protein 132C"	"TMEM132C"
"236377_PM_at"	"236377_PM_at"	"AW166133"	"transmembrane protein 132D"	"TMEM132D"
"243708_PM_at"	"243708_PM_at"	"AI678145"	"transmembrane protein 132E"	"TMEM132E"
"223595_PM_at"	"223595_PM_at"	"AF247167"	"transmembrane protein 133"	"TMEM133"
"1558712_PM_at"	"1558712_PM_at"	"AY007143"	"transmembrane protein 134"	"TMEM134"
"1554866_PM_at"	"1554866_PM_at"	"BC030952"	"transmembrane protein 135"	"TMEM135"
"1554076_PM_s_at"	"1554076_PM_s_at"	"BC015232"	"transmembrane protein 136"	"TMEM136"
"223113_PM_at"	"223113_PM_at"	"AF151030"	"transmembrane protein 138"	"TMEM138"
"227753_PM_at"	"227753_PM_at"	"R26843"	"transmembrane protein 139"	"TMEM139"
"218999_PM_at"	"218999_PM_at"	"NM_018295"	"transmembrane protein 140"	"TMEM140"
"225568_PM_at"	"225568_PM_at"	"BE728983"	"transmembrane protein 141"	"TMEM141"
"219589_PM_s_at"	"219589_PM_s_at"	"NM_018273"	"transmembrane protein 143"	"TMEM143"
"1558452_PM_at"	"1558452_PM_at"	"BC035811"	"transmembrane protein 144"	"TMEM144"
"1553479_PM_at"	"1553479_PM_at"	"NM_173633"	"transmembrane protein 145"	"TMEM145"
"237020_PM_at"	"237020_PM_at"	"AI203106"	"transmembrane protein 146"	"TMEM146"
"202475_PM_at"	"202475_PM_at"	"NM_006326"	"transmembrane protein 147"	"TMEM147"
"1552856_PM_at"	"1552856_PM_at"	"NM_153238"	"transmembrane protein 148"	"TMEM148"
"219690_PM_at"	"219690_PM_at"	"NM_024660"	"transmembrane protein 149"	"TMEM149"
"218477_PM_at"	"218477_PM_at"	"NM_014051"	"transmembrane protein 14A"	"TMEM14A"
"221452_PM_s_at"	"221452_PM_s_at"	"NM_030969"	"transmembrane protein 14B"	"TMEM14B"
"223105_PM_s_at"	"223105_PM_s_at"	"BC002496"	"transmembrane protein 14B /// transmembrane protein 14C"	"TMEM14B /// TMEM14C"
"223106_PM_at"	"223106_PM_at"	"BC002496"	"transmembrane protein 14C"	"TMEM14C"
"226239_PM_at"	"226239_PM_at"	"AL573722"	"transmembrane protein 150A"	"TMEM150A"
"1570225_PM_at"	"1570225_PM_at"	"BC020862"	"transmembrane protein 150B"	"TMEM150B"
"229623_PM_at"	"229623_PM_at"	"BF508344"	"Transmembrane protein 150C"	"TMEM150C"
"235614_PM_at"	"235614_PM_at"	"AI215667"	"transmembrane protein 151A"	"TMEM151A"
"1561258_PM_at"	"1561258_PM_at"	"CA412852"	"transmembrane protein 151B"	"TMEM151B"
"238063_PM_at"	"238063_PM_at"	"AA806283"	"transmembrane protein 154"	"TMEM154"
"230137_PM_at"	"230137_PM_at"	"BF673779"	"transmembrane protein 155"	"TMEM155"
"220169_PM_at"	"220169_PM_at"	"NM_024943"	"transmembrane protein 156"	"TMEM156"
"213338_PM_at"	"213338_PM_at"	"BF062629"	"transmembrane protein 158 (gene/pseudogene)"	"TMEM158"
"213272_PM_s_at"	"213272_PM_s_at"	"AF070596"	"transmembrane protein 159"	"TMEM159"
"219219_PM_at"	"219219_PM_at"	"NM_017854"	"transmembrane protein 160"	"TMEM160"
"218745_PM_x_at"	"218745_PM_x_at"	"NM_017814"	"transmembrane protein 161A"	"TMEM161A"
"227861_PM_at"	"227861_PM_at"	"AI650251"	"transmembrane protein 161B"	"TMEM161B"
"1552626_PM_a_at"	"1552626_PM_a_at"	"NM_030923"	"transmembrane protein 163"	"TMEM163"
"220486_PM_x_at"	"220486_PM_x_at"	"NM_017698"	"transmembrane protein 164"	"TMEM164"
"218095_PM_s_at"	"218095_PM_s_at"	"NM_018475"	"transmembrane protein 165"	"TMEM165"
"224702_PM_at"	"224702_PM_at"	"BG501219"	"transmembrane protein 167A"	"TMEM167A"
"222495_PM_at"	"222495_PM_at"	"AV712912"	"transmembrane protein 167B"	"TMEM167B"
